Street,Ward,District,Prices,Area,toFace,type,certificate,width,length,floors,Location
13382, Núi Thành,Hòa Cường Bắc,hải châu,1.52,40.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,,1,"16.03194,108.22279"
13383, Đại lộ Thăng Long,Hòa Cường Nam,hải châu,14.9,120.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,,,4,"16.02925,108.22688"
13384, Nguyễn Hữu Thọ,Hòa Cường Bắc,hải châu,24.0,125.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,25.0,5,"16.03954,108.21035"
13385, Tiểu La,Hòa Cường Bắc,hải châu,3.35,65.0,Không,Nhà trong hẻm,Không có,5.0,,2,"16.04649,108.22182"
13386, Trần Cao Vân,Xuân Hà,thanh khê,3.2,57.0,Không,Nhà trong hẻm,Không có,4.7,,3,"16.0738,108.20758"
13387, Tô Hiệu,Hòa Minh,liên chiểu,3.65,70.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.8,15.0,3,"16.06424,108.16672"
13388, Đông Giang,An Hải Tây,sơn trà,5.0,70.0,Đông,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,14.0,2,"16.06012,108.23263"
13389, Tiên Sơn 10,Hòa Cường Nam,hải châu,13.0,180.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6.0,30.0,4,"16.03438,108.22172"
13390, Điện Biên Phủ,Hòa Khê,thanh khê,16.9,85.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,17.0,6,"16.06715,108.196"
13391, Lê Thị Hồng Gấm,Hòa Cường Nam,hải châu,8.1,78.0,Không,Nhà mặt tiền,Không có,5.75,14.5,3,"16.03478,108.21788"
13392, Tô Hiến Thành,Phước Mỹ,sơn trà,12.0,77.0,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,4.9,15.7,5,"16.06028,108.24304"
13393, Hà Tông Quyền,Khuê Trung,cẩm lệ,13.0,,Không,Nhà mặt tiền,Giấy tờ hợp lệ,8.0,25.0,3,"16.0211,108.20662"
13394, Tiểu La,Hòa Cường Bắc,hải châu,3.35,61.0,Đông Bắc,Nhà trong hẻm,Giấy tờ hợp lệ,,,2,"16.04649,108.22182"
13395, Hải Phòng,Tân Chính,thanh khê,3.9,59.0,Đông,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,15.0,4,"16.07085,108.20893"
13396, Hoàng Thúc Trâm,Hòa Cường,hải châu,5.0,68.0,Không,Nhà mặt tiền,Không có,5.0,13.0,3,"16.04274,108.21396"
13397, Trần Đại Nghĩa,Hòa Hải,ngũ hành sơn,6.45,118.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,4.7,25.0,2,"15.97396,108.25464"
13398, Nguyễn Thị Minh Khai,Thạch Thang,hải châu,15.2,59.0,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,4.46,13.33,3,"16.0744,108.21805"
13399, Võ Văn Ngân,Hòa Xuân,cẩm lệ,4.35,100.0,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,2,"16.02878,108.21122"
13400, Nguyễn Tri Phương,Hòa Xuân,cẩm lệ,14.2,125.0,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,25.0,4,"16.01249353,108.21596049"
13401, Bàu Cầu 27,Xã Hòa Châu,hòa vang,3.35,93.0,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,19.0,3,"15.99746,108.19149"
13402, Phong Nam,Xã Hòa Châu,hòa vang,2.4,10.0,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,6.0,17.0,2,"15.98661,108.1948"
13403, Nguyễn Phan Vinh,Thọ Quang,sơn trà,5.9,90.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,7.0,13.0,3,"16.10053,108.25114"
13404, Nguyễn Lộ Trạch,Hòa Cường Nam,hải châu,14.7,120.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6.0,20.0,5,"16.03258,108.22856"
13405, Nguyễn Văn Thoại,An Hải Đông,sơn trà,24.9,114.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6.5,19.5,3,"16.05747,108.24433"
13406, Đỗ Bá,Mỹ An,ngũ hành sơn,12.4,70.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,14.0,3,"16.05193,108.24696"
13407, Tô Hiến Thành,Phước Mỹ,sơn trà,7.9,70.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,15.0,5,"16.06028,108.24304"
13408, Dương Đình Nghệ,Phước Mỹ,sơn trà,14.5,120.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,6.0,20.0,7,"16.06888,108.24414"
13409, An Thượng 6,Mỹ An,ngũ hành sơn,11.5,116.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,10.0,11.6,2,"16.04726,108.24536"
13410, Mạc Đăng Doanh,Hòa Xuân,cẩm lệ,3.9,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,200.0,3,"16.05069,108.17914"
13411, Lâm Hoành,Phước Mỹ,sơn trà,3.8,68.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,17.0,3,"16.06168,108.24547"
13412, Huỳnh Tấn Phát,Hòa Cường,hải châu,27.0,,Không,Nhà mặt tiền,Giấy tờ hợp lệ,10.0,20.0,5,"16.03781,108.21405"
13413, Núi Thành,Hòa Cường Bắc,hải châu,7.3,67.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.2,16.0,4,"16.03194,108.22279"
13414, Lê Hồng Phong,Phước Ninh,hải châu,6.95,70.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,3.6,15.0,4,"16.06401,108.22152"
13415, Tiểu La,Hòa Cường,hải châu,3.2,60.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,3.0,20.0,2,"16.04649,108.22182"
13416, Lê Cơ,Hòa Cường,hải châu,4.55,120.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.3,28.0,1,"16.04241,108.21996"
13417, Hoàng Diệu,Nam Dương,hải châu,4.3,100.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,9.0,9.5,3,"16.05467,108.21737"
13418, Dương Đình Nghệ,An Hải Bắc,sơn trà,14.5,120.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6.0,20.0,7,"16.06888,108.24414"
13419, Lê Thanh Nghị,Hòa Cường,hải châu,5.2,65.0,Không,Nhà mặt tiền,Không có,5.0,13.0,3,"16.03029,108.21903"
13420, Hoàng Diệu,Bình Hiên,hải châu,2.05,35.0,Không,Nhà mặt tiền,Không có,4.0,,2,"16.05467,108.21737"
13421, Lý Thái Tổ,Vĩnh Trung,thanh khê,16.6,80.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,16.0,2,"16.06628,108.20862"
13422, Hàm Nghi,Vĩnh Trung,thanh khê,16.9,80.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,16.0,3,"16.06295,108.21069"
13423, Hoàng Văn Thái,Hòa Minh,liên chiểu,2.1,60.0,Không,Nhà trong hẻm,Không có,,,3,"16.05849,108.15735"
13424, Nguyễn Văn Huề,Thanh Khê Đông,thanh khê,2.3,70.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,9.0,8.0,2,"16.06914,108.17667"
13425, Lê Sát,Hòa Cường Nam,hải châu,6.8,75.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,15.0,2,"16.02977,108.22057"
13426, Âu Cơ,Hòa Khánh Bắc,liên chiểu,9.3,96.0,Không,Nhà mặt tiền,Không có,9.5,31.0,2,"16.16468048,108.12548065"
13427, Nguyễn Phước Nguyên,An Khê,thanh khê,2.2,60.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,15.0,2,"16.05452,108.18347"
13428, Hoàng Văn Thái,Hòa Khánh Nam,liên chiểu,2.4,100.0,Không,Nhà trong hẻm,Không có,5.0,20.0,2,"16.05849,108.15735"
13429, Phước Tường 11,Hòa Phát,cẩm lệ,3.55,100.0,Không,Nhà mặt tiền,Không có,5.0,20.0,3,"16.02202,108.20298"
13430, Hồ Nghinh,An Hải Đông,sơn trà,15.2,95.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6.0,16.0,6,"16.07304,108.24303"
13431, Điện Biên Phủ,Hải Châu I,hải châu,12.0,81.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,18.0,3,"16.06556437,108.19654175"
13432, Đào Sư Tích,Hòa Minh,liên chiểu,3.95,90.0,Không,Nhà mặt tiền,Không có,5.0,18.0,2,"16.05359,108.16691"
13433, Hoàng Văn Thái,Hòa Khánh Nam,liên chiểu,4.2,80.0,Không,Nhà mặt tiền,Không có,4.5,18.0,2,"16.05849,108.15735"
13434, Hòa Mỹ 6,Hòa Minh,liên chiểu,4.9,60.0,Không,Nhà mặt tiền,Không có,5.0,12.0,3,"16.05905,108.16313"
13435, Trần Thái Tông,An Khê,thanh khê,5.4,60.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6.0,10.0,3,"16.04077,108.18846"
13437, Khúc Hạo,An Hải Đông,sơn trà,40.0,326.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,12.0,27.0,5,"16.0935,108.23171"
13438, Tôn Đản,Hòa An,cẩm lệ,5.2,90.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.2,18.0,3,"16.04509,108.18114"
13439, Trường Chinh,An Khê,thanh khê,2.4,50.0,Không,Nhà mặt tiền,Không có,4.5,12.0,2,"16.04251,108.18537"
13440, Tú Mỡ,Hòa Minh,liên chiểu,5.8,11.0,Không,Nhà mặt tiền,Không có,5.0,22.0,2,"16.05216,108.17041"
13441, Thanh Vinh 10,Hòa Khánh Bắc,liên chiểu,2.8,179.0,Không,Nhà trong hẻm,Không có,7.0,24.0,2,"16.07536,108.13054"
13442, Trường Chinh,Hòa Phát,cẩm lệ,1.85,60.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,12.0,2,"16.00735,108.19196"
13443, Thanh Vinh,Hòa Khánh Bắc,liên chiểu,2.85,175.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,7.5,25.0,2,"16.07863,108.12345"
13444, Hà Huy Tập,Hòa Khê,thanh khê,4.29,101.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,8.0,13.0,3,"16.0704,108.19171"
13445, Lê Độ,Tam Thuận,thanh khê,1.95,43.0,Nam,Nhà trong hẻm,Giấy tờ hợp lệ,3.5,12.3,2,"16.07062,108.20136"
13446, Lê Duẩn,Tân Chính,thanh khê,1.79,30.0,Bắc,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,8.0,2,"16.06965,108.2106"
13447, Ấp Bắc,Hòa Quý,ngũ hành sơn,3.5,125.0,Không,Nhà mặt tiền,Không có,,,1,"15.99208,108.25728"
13448, Hoài Thanh,Mỹ An,ngũ hành sơn,5.7,70.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6.0,12.0,4,"16.04427,108.23848"
13449, Huỳnh Tấn Phát,Hòa Cường,hải châu,10.5,97.0,Không,Nhà mặt tiền,Không có,5.0,,4,"16.03781,108.21405"
13450, Thanh Thủy,Hải Châu I,hải châu,8.5,190.0,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,11.0,19.0,1,"16.08232,108.21374"
13451, 22 Điện Biên Phủ,Vĩnh Trung,thanh khê,6.7,400.0,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,20.0,20.0,1,"16.06622,108.20589"
13452, Tô Hiến Thành,Phước Mỹ,sơn trà,8.4,80.0,Đông,Nhà mặt tiền,Không có,5.0,16.0,3,"16.06028,108.24304"
13453, Đặng Thái Thân,Hòa Hải,ngũ hành sơn,25.0,594.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,,,3,"16.0087,108.25543"
13454, 204/8 Phạm Cự Lượng,An Hải Đông,sơn trà,4.0,76.0,Nam,Nhà trong hẻm,Giấy tờ hợp lệ,,,2,"16.05799,108.23674"
13455, Tô Hiệu,Hòa Minh,liên chiểu,3.25,66.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,6.0,11.0,3,"16.06424,108.16672"
13456, Hoài Thanh,Mỹ An,ngũ hành sơn,5.6,70.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6.0,12.0,4,"16.04427,108.23848"
13457, Thanh Lương 18,Hòa Xuân,cẩm lệ,4.8,100.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3,"16.02174,108.20984"
13458, Bùi Hiển,Hòa An,cẩm lệ,5.7,108.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.0,16.0,2,"16.04287,108.16986"
13459, Đô Đốc Tuyết,Hòa Xuân,cẩm lệ,3.45,100.0,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,2,"15.99456,108.21192"
13460, Đống Đa,Thạch Thang,hải châu,3.5,61.0,Đông Bắc,Nhà trong hẻm,Giấy tờ hợp lệ,6.0,11.0,2,"16.07503,108.21489"
13461, Nại Hiên Đông,Nại Hiên Đông,sơn trà,7.9,124.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6.0,18.0,3,"16.08794594,108.2298584"
13462, Nguyễn Xuân Khoát,An Hải Bắc,sơn trà,9.3,88.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,17.6,3,"16.06982,108.23675"
13463, An Trung 3,An Hải Tây,sơn trà,15.9,98.0,Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,19.0,3,"16.05576,108.233"
13464, Mỹ Đa Tây 10,Khuê Mỹ,ngũ hành sơn,,100.0,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,4,"16.03552,108.24351"
13465, Vũ Quỳnh,Thanh Khê Tây,thanh khê,3.8,80.0,Không,Nhà mặt tiền,Không có,5.0,,1,"16.07717,108.17347"
13466, Lê Duẩn,Tân Chính,thanh khê,21.0,7.0,Không,Nhà mặt tiền,Không có,5.0,,3,"16.06965,108.2106"
13467, Phan Thanh,Thạc Gián,thanh khê,9.7,110.0,Không,Nhà mặt tiền,Không có,5.0,22.0,3,"16.06302,108.20878"
13468, Trần Tống,Thạc Gián,thanh khê,8.5,95.0,Không,Nhà mặt tiền,Không có,5.0,19.0,4,"16.05878,108.21169"
13469, Tiểu La,Hòa Cường,hải châu,5.59,68.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,16.0,4,"16.04649,108.22182"
13470, Ngô Quyền,An Hải Bắc,sơn trà,9.1,80.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.0,20.0,4,"16.09631,108.24529"
13471, Lê Đại Hành,Hòa Thọ Đông,cẩm lệ,10.0,140.0,Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,7.0,19.0,2,"16.02205,108.20023"
13472, Vũ Lăng,Hòa Phát,cẩm lệ,5.1,75.0,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,10.0,10.0,3,"15.97871,108.21611"
13473, Nguyễn Quang Diêu,Hòa Xuân,cẩm lệ,5.6,90.0,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,19.0,3,"15.98332,108.21252"
13474, Hồ Trung Lượng,Hòa Xuân,cẩm lệ,5.7,100.0,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,4,"16.01794,108.23238"
13475, Huỳnh Ngọc Đủ,Hòa Xuân,cẩm lệ,4.7,100.0,Đông Bắc,Nhà mặt tiền,Không có,5.0,20.0,3,"16.00335,108.21535"
13476, Bùi Công Trừng,Hòa Xuân,cẩm lệ,4.8,100.0,Tây Nam,Nhà mặt tiền,Không có,5.0,20.0,2,"16.0035,108.21751"
13477, Thanh Lương 9,Hòa Xuân,cẩm lệ,4.7,100.0,Đông Nam,Nhà mặt tiền,Không có,5.0,20.0,3,"16.02233,108.211"
13478, Trần Kim Xuyến,Hòa Xuân,cẩm lệ,5.4,100.0,Đông Bắc,Nhà mặt tiền,Không có,5.0,20.0,3,"16.02793,108.21234"
13479, Thanh Lương 15,Hòa Xuân,cẩm lệ,5.2,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3,"16.0086,108.21612"
13480, Thanh Lương 6,Hòa Xuân,cẩm lệ,5.2,100.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3,"16.00676,108.21895"
13481, Nguyễn Sắc Kim,Hòa Xuân,cẩm lệ,5.1,88.0,Đông Nam,Nhà mặt tiền,Không có,5.0,20.0,3,"16.0035,108.2227"
13482, Tôn Đản,Hòa Phát,cẩm lệ,3.85,145.0,Tây,Nhà trong hẻm,Giấy tờ hợp lệ,7.0,25.0,2,"16.04509,108.18114"
13483, Nguyễn Hữu Thọ,Hòa Cường Bắc,hải châu,5.45,100.0,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,4,"16.03954,108.21035"
13484, Đà Sơn,Hòa Khánh Nam,liên chiểu,2.2,135.0,Tây Nam,Nhà trong hẻm,Giấy tờ hợp lệ,6.0,22.0,1,"16.04963,108.15547"
13485, Nguyễn Thi,Hòa Cường Nam,hải châu,5.5,70.0,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,4.0,18.5,3,"16.03236,108.2319"
13486, Ỷ Lan Nguyên Phi,Hòa Cường Bắc,hải châu,7.0,90.0,Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,20.0,2,"16.04088,108.21625"
13487, Tiểu La,Hòa Cường Bắc,hải châu,12.8,90.0,Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,18.0,3,"16.04649,108.22182"
13488, Lê Cảnh Tuân,Nại Hiên Đông,sơn trà,4.0,100.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,17.0,2,"16.09432,108.23083"
13489, Lê Hữu Trác,An Hải Bắc,sơn trà,3.7,78.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,3.6,21.0,2,"16.05862,108.23956"
13490, Nguyễn Như Hạnh,Hòa Minh,liên chiểu,3.4,150.0,Không,Nhà trong hẻm,Không có,5.0,30.0,1,"16.06497,108.17488"
13491, 70 Ngô Chân Lưu,Hòa Minh,liên chiểu,2.67,65.0,Không,Nhà trong hẻm,Không có,5.0,,2,"16.06066,108.16833"
13492, Hà Bổng,Phước Mỹ,sơn trà,5.4,95.0,Tây,Nhà trong hẻm,Không có,4.4,,3,"16.06664,108.24441"
13493, Phạm Văn Nghị,Thạc Gián,thanh khê,9.5,110.0,Không,Nhà mặt tiền,Không có,5.0,22.0,3,"16.05824,108.20964"
13494, Phạm Như Xương,Hòa Khánh Bắc,liên chiểu,2.2,160.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,7.0,,1,"16.06383,108.14822"
13495, Phạm Như Xương,Hòa Khánh Nam,liên chiểu,2.1,160.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,7.0,24.0,1,"16.06383,108.14822"
13496, số 6,Hòa Hiệp Nam,liên chiểu,4.1,125.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,25.0,3,"16.12754,108.11251"
13497, Trưng Nữ Vương,Hòa Thuận Đông,hải châu,2.55,55.0,Không,Nhà trong hẻm,Không có,6.0,,2,"16.05375,108.21903"
13498, Nguyễn Công Hoan,Hòa An,cẩm lệ,4.3,170.0,Không,Nhà mặt tiền,Không có,,,1,"16.05217,108.17555"
13499, Thanh Vinh,Hòa Khánh Bắc,liên chiểu,2.7,175.0,Không,Nhà mặt tiền,Không có,,,1,"16.07863,108.12345"
13500, Gò Nãy 4,Hòa Minh,liên chiểu,4.33,95.0,Không,Nhà mặt tiền,Không có,,,2,"16.05318,108.16543"
13501, Nguyễn Viết Xuân,Hòa Minh,liên chiểu,4.95,125.0,Không,Nhà mặt tiền,Không có,5.0,25.0,3,"16.05917,108.17216"
13502, Nguyễn Huy Tưởng,Hòa Minh,liên chiểu,4.3,80.0,Không,Nhà mặt tiền,Không có,,,1,"16.05073,108.17021"
13503, An Thượng 37,Mỹ An,ngũ hành sơn,8.8,60.0,Không,Nhà mặt tiền,Không có,,,4,"16.04693,108.24217"
13504, Hoài Thanh,Mỹ An,ngũ hành sơn,5.7,70.0,Không,Nhà mặt tiền,Không có,,,4,"16.04427,108.23848"
13505, Mân Quang 15,Thọ Quang,sơn trà,5.7,80.0,Không,Nhà mặt tiền,Không có,5.0,,3,"16.1034,108.24612"
13506, Đồng Kè,Hòa Khánh Bắc,liên chiểu,4.5,150.0,Không,Nhà mặt tiền,Không có,6.0,,1,"16.07284,108.14639"
13507, Hoà Minh 15,Hòa Minh,liên chiểu,5.2,75.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6.0,,3,"16.07962,108.16033"
13508, Hà Huy Tập,Hòa Khê,thanh khê,3.8,75.0,Không,Nhà trong hẻm,Không có,6.0,,2,"16.0704,108.19171"
13509, Lê Hữu Trác,An Hải Đông,sơn trà,3.7,80.0,Không,Nhà trong hẻm,Không có,,,2,"16.05862,108.23956"
13511, Triệu Quốc Đạt,Hòa Thọ Đông,cẩm lệ,2.59,77.0,Không,Nhà trong hẻm,Không có,5.5,,2,"16.0165,108.1989"
13512, Ngô Quyền,An Hải Đông,sơn trà,4.5,130.0,Không,Nhà trong hẻm,Không có,,,2,"16.09631,108.24529"
13513, Hà Huy Tập,Xuân Hà,thanh khê,3.6,140.0,Không,Nhà trong hẻm,Không có,,,1,"16.0704,108.19171"
13514, Tiểu La,Hòa Cường Bắc,hải châu,2.95,90.0,Không,Nhà trong hẻm,Không có,,,1,"16.04649,108.22182"
13515, Thi Sách,Hòa Thuận Tây,hải châu,3.99,70.0,Không,Nhà trong hẻm,Không có,4.0,,2,"16.0546,108.20547"
13516, Nguyễn Huy Tưởng,Hòa Minh,liên chiểu,4.15,170.0,Không,Nhà trong hẻm,Không có,,,1,"16.05073,108.17021"
13517, Lưu Trọng Lư,Hòa Cường Nam,hải châu,6.1,70.0,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,4.0,4.0,4,"16.03176,108.23118"
13518, Đoàn Khuê,Khuê Mỹ,ngũ hành sơn,7.8,110.0,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,22.0,5,"16.02914,108.24223"
13519, Nguyễn Hữu Thọ,Hòa Thuận Đông,hải châu,13.8,85.0,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,4.0,20.0,3,"16.03954,108.21035"
13520, Mỹ An 17,Mỹ An,ngũ hành sơn,8.5,110.0,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,22.0,6,"16.03898,108.23831"
13521, Đỗ Huy Uyển,An Hải Bắc,sơn trà,11.5,100.0,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3,"16.07546,108.23242"
13522, Nước Mặn 5,Khuê Mỹ,ngũ hành sơn,5.95,95.0,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,19.0,3,"16.03131,108.24594"
13523, Vũ Mộng Nguyên,Khuê Mỹ,ngũ hành sơn,6.2,96.0,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,19.5,2,"16.03794,108.24839"
13524, 3/2,Thuận Phước,hải châu,17.0,125.0,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,25.0,3,"16.08332,108.2223"
13525, 1 Hà Huy Tập,An Khê,thanh khê,2.3,75.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,15.0,2,"16.07109,108.19171"
13526, Hải Phòng,Tân Chính,thanh khê,2.9,40.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,11.5,32.0,2,"16.07085,108.20893"
13527, Hóa Quê Trung,Hòa Cường,hải châu,5.6,98.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.2,19.0,2,"16.04329,108.21986"
13528, Nguyễn Lộ Trạch,Hòa Cường,hải châu,10.5,84.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6.0,14.0,4,"16.03258,108.22856"
13529, Đa Mặn,Khuê Mỹ,ngũ hành sơn,20.9,18.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,10.0,18.2,3,"16.03033,108.24469"
13530, Hoàng Diệu,Bình Thuận,hải châu,3.8,65.0,Không,Nhà trong hẻm,Không có,5.0,13.0,2,"16.05467,108.21737"
13531, Phú Lộc 11,Hòa Minh,liên chiểu,4.15,150.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,25.0,1,"16.07179,108.17185"
13532, Trường Chinh,An Khê,thanh khê,3.1,85.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,3.4,24.0,3,"16.04251,108.18537"
13533, Bàu Vàng 4,Hòa Khánh Bắc,liên chiểu,4.4,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,4,"16.08059,108.14539"
13534, Nguyễn Tri Phương,Hòa Thuận Đông,hải châu,29.0,80.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6.0,31.0,4,"16.05232,108.21081"
13535, Lê Đình Lý,Thạc Gián,thanh khê,13.5,150.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,2,"16.05515,108.21073"
13536, Lê Thanh Nghị,Hòa Cường Bắc,hải châu,13.6,110.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,22.0,3,"16.03029,108.21903"
13537, Tô Hiệu,Hòa Minh,liên chiểu,3.2,13.0,Bắc,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,33.0,2,"16.06424,108.16672"
13538, Nguyễn Phước Tấn,Hòa Thọ Đông,cẩm lệ,2.59,80.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,17.0,2,"16.01695,108.19864"
13539, Quách Xân,Hòa An,cẩm lệ,4.25,100.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3,"16.05689,108.17252"
13540, Hoàng Diệu,Bình Hiên,hải châu,3.95,90.0,Không,Nhà trong hẻm,Không có,6.0,,2,"16.05467,108.21737"
13541, Trưng Nữ Vương,Hòa Thuận Tây,hải châu,3.48,85.0,Không,Nhà trong hẻm,Không có,,,2,"16.05375,108.21903"
13542, Nguyễn Lương Bằng,Hòa Khánh Bắc,liên chiểu,6.8,178.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,,"16.08075,108.14674"
13543, Bạch Thái Bưởi,Hòa Khánh Bắc,liên chiểu,4.1,98.0,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,19.5,,"16.06913,108.14717"
13544, Đinh Đức Thiện,Hòa Khánh Bắc,liên chiểu,3.4,90.0,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,18.0,,"16.07776,108.15817"
13545, Hoàng Diệu,Bình Thuận,hải châu,4.0,100.0,Không,Nhà trong hẻm,Không có,5.0,,2,"16.05467,108.21737"
13546, Trần Cao Vân,Thanh Khê Đông,thanh khê,2.48,56.0,Tây Bắc,Nhà trong hẻm,Giấy tờ hợp lệ,,,3,"16.0738,108.20758"
13547, Hòa Minh 4,Hòa Minh,liên chiểu,2.99,120.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,,,1,"16.08144,108.16423"
13548, Tôn Đức Thắng,Hòa Minh,liên chiểu,5.0,70.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,,,1,"16.07067,108.15084"
13549, Lê Hữu Trác,An Hải Bắc,sơn trà,3.7,78.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,3.5,23.0,2,"16.05862,108.23956"
