Street,Ward,District,Prices,Area,toFace,type,certificate,width,length,floors,Location
138, K23.35 Nguyễn Văn Huề,Thanh Khê Tây,thanh khê,2.3,64.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,9.4,8.0,2,"16.06917,108.17588"
139, Tô Hiệu,Hòa Minh,liên chiểu,3.2,60.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6.0,,3,"16.06424,108.16672"
140, Phạm Như Xương,Hòa Khánh Nam,liên chiểu,1.45,65.0,Tây Nam,Nhà trong hẻm,Giấy tờ hợp lệ,5.5,,1,"16.06383,108.14822"
141, Hàn Thuyên,Hòa Cường Bắc,hải châu,7.95,108.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,24.0,3,"16.03936,108.21621"
142, Quốc lộ 1A,Xã Hòa Phước,hòa vang,2.0,121.0,Không,Nhà trong hẻm,Không có,,,2,"15.96907,108.20995"
143, Phan Đăng Lưu,Hòa Cường Nam,hải châu,7.6,78.0,Không,Nhà mặt tiền,Không có,,,3,"16.03665,108.21825"
144, Mai Đăng Chơn,Hòa Quý,ngũ hành sơn,15.0,370.0,Không,Nhà mặt tiền,Không có,,,3,"15.97666,108.23309"
145, Nguyễn Hữu Thọ,Hòa Cường Nam,hải châu,52.0,500.0,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,20.0,25.0,3,"16.03954,108.21035"
146, Trưng Nữ Vương,Bình Thuận,hải châu,27.0,,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,8.0,22.0,1,"16.05375,108.21903"
147, Dương Đức Hiền,Hòa Minh,liên chiểu,2.65,7.0,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,16.0,1,"16.08288,108.16057"
148, Tế Hanh,Hòa Xuân,cẩm lệ,3.95,11.0,Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,22.5,2,"15.98764,108.21322"
150, Ngô Quyền,An Hải Bắc,sơn trà,8.2,85.0,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,6.0,14.4,3,"16.09631,108.24529"
151, Đào Sư Tích,Hòa Minh,liên chiểu,3.85,60.0,Nam,Nhà mặt tiền,Giấy tờ hợp lệ,3.99,16.74,3,"16.05359,108.16691"
152, Nguyễn Đỗ Cung,Hòa Minh,liên chiểu,5.0,110.0,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,22.0,2,"16.06062,108.17027"
153, Hà Huy Tập,Xuân Hà,thanh khê,11.5,98.0,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,5,"16.0704,108.19171"
154, Dương Vân Nga,Nại Hiên Đông,sơn trà,6.8,100.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,4,"16.09172,108.23162"
155, Phạm Văn Bạch,Hòa Cường Nam,hải châu,4.5,76.0,Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,4.0,19.0,1,"16.03197,108.22656"
156, Bùi Vịnh,Hòa Phát,cẩm lệ,4.2,120.0,Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,24.0,2,"16.02131,108.20046"
157, Nguyễn Thanh Năm,An Khê,thanh khê,3.2,75.0,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,15.0,1,"16.03579,108.19075"
158, Đoàn Phú Tứ,Hòa Khánh Bắc,liên chiểu,4.1,147.0,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,30.0,1,"16.06926,108.14463"
159, Nguyễn Trác,Hòa Thuận Tây,hải châu,9.0,134.0,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,27.0,2,"16.04123,108.20957"
160, Trần Can,Hòa Khê,thanh khê,5.8,85.0,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,17.0,3,"16.0738,108.20758"
161, An Mỹ,An Hải Tây,sơn trà,4.8,56.0,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,4.0,14.0,1,"16.06265,108.23121"
162, Ngô Trí Hòa,Nại Hiên Đông,sơn trà,3.2,7.0,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,4.0,18.0,1,"16.09121,108.23348"
163, Man Thiện,Hòa Thuận Tây,hải châu,8.9,96.0,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,19.2,3,"16.05362,108.20609"
164, Hoàng Đức Lương,An Hải Bắc,sơn trà,9.0,100.0,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3,"16.07525,108.23292"
165, Võ Duy Ninh,Thọ Quang,sơn trà,5.3,130.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,25.7,2,"16.09291,108.24852"
166, Lý Tự Trọng,Thạch Thang,hải châu,10.8,80.0,Nam,Nhà mặt tiền,Giấy tờ hợp lệ,4.0,20.0,2,"16.05067825,108.21286774"
167, Ngô Chi Lan,Thuận Phước,hải châu,6.8,95.0,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,6.0,21.0,1,"16.06903,108.21546"
168, Vũ Quỳnh,Thanh Khê Tây,thanh khê,3.9,75.0,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,15.0,1,"16.07717,108.17347"
