Street,Ward,District,Prices,Area,toFace,type,certificate,width,length,floors,Location
 Xuân Đán 2,Xuân Hà,thanh khê,-0.126190251,0.095999045,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,-0.384833433,0.222312714,1,"16.07082,108.19384"
 An Thượng 18,Mỹ An,ngũ hành sơn,-0.339758339,-0.954727795,Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,-0.763786782,-0.877428569,1,"16.04836,108.24055"
 Tố Hữu,Hòa Cường Nam,hải châu,0.527433875,0.331876499,Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,-0.384833433,0.532496153,1,"16.03441,108.21851"
 Phan Thị Nể,Hòa Minh,liên chiểu,-0.339758339,-0.075548194,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,-0.574310107,0.250511209,3,"16.07961,108.16322"
 Phú Xuân 1,Hòa Minh,liên chiểu,-0.795320814,0.331876499,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,-0.384833433,0.532496153,1,"16.07302,108.16626"
 Nguyễn Bỉnh Khiêm,An Hải Tây,sơn trà,0.137035034,-1.705246967,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,-0.271147428,-0.938055332,3,"16.06415,108.23249"
 Ngô Quyền,An Hải Bắc,sơn trà,-0.339758339,1.189612695,Không,Nhà mặt tiền,Không có,-0.005880084,1.00247106,2,"16.09631,108.24529"
 Nại Hiên Đông,Nại Hiên Đông,sơn trà,-0.74258305,-0.354312458,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,-0.574310107,-0.172466208,2,"16.08794594,108.2298584"
 Bùi Dương Lịch,Nại Hiên Đông,sơn trà,-0.359269481,-1.662360157,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,-0.763786782,-0.031473736,3,"16.0895,108.23283"
 12 Cao Sơn Pháo,Hòa An,cẩm lệ,-0.642506179,-0.504416292,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,-0.005880084,-0.877428569,3,"16.05826,108.17668"
 12 Cù Chính Lan,Hòa Khê,thanh khê,0.110565341,-0.139878409,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,-0.574310107,0.109518737,3,"16.0714016,108.19120789"
 Hùng Vương,Vĩnh Trung,thanh khê,-0.031772946,-1.576586537,Không,Nhà mặt tiền,Giấy tờ hợp lệ,0.373073266,-0.031473736,2,"16.06689,108.21214"
 Tôn Đức Thắng,Hòa Minh,liên chiểu,-0.696689319,-0.525859697,Không,Nhà trong hẻm,Giấy tờ hợp lệ,-0.763786782,-0.172466208,3,"16.07067,108.15084"
 Đoàn Phú Tứ,Hòa Khánh Bắc,liên chiểu,-2.189384043,-0.568746507,Không,Nhà trong hẻm,Giấy tờ hợp lệ,0.606422546,-1.213586613,1,"16.06926,108.14463"
 Nại Hiên Đông 8,Nại Hiên Đông,sơn trà,-0.977730066,-1.662360157,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,-0.763786782,0.250511209,2,"16.09258,108.23111"
 mt kỳ đồng Kỳ Đồng,Thạc Gián,thanh khê,0.562836713,0.010225425,Nam,Nhà mặt tiền,Giấy tờ hợp lệ,-0.384833433,0.109518737,3,"16.07002,108.18854"
 kiệt 70 Nguyễn Du,Thạch Thang,hải châu,-0.795320814,-0.461529483,Đông Nam,Nhà trong hẻm,Giấy tờ hợp lệ,-0.650100777,-0.31345868,2,"16.07874,108.21804"
 Bạch Thái Bưởi,Hòa Khánh Bắc,liên chiểu,-0.001883917,0.267546284,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,-0.384833433,0.391503681,3,"16.06913,108.14717"
 Trần Thủ Độ,Khuê Trung,cẩm lệ,0.819321029,0.396206713,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,-0.384833433,0.574793895,4,"16.02417,108.21349"
 An Mỹ,An Hải Tây,sơn trà,-0.339758339,-0.525859697,Không,Nhà mặt tiền,Giấy tờ hợp lệ,-0.763786782,-0.172466208,1,"16.06265,108.23121"
 Hà Huy Tập,Hòa Khê,thanh khê,-0.062431679,0.010225425,Không,Nhà mặt tiền,Giấy tờ hợp lệ,0.373073266,-0.595443624,2,"16.0704,108.19171"
 An Thượng 38,Khuê Mỹ,ngũ hành sơn,0.677140495,-0.525859697,Không,Nhà mặt tiền,Giấy tờ hợp lệ,-0.574310107,-0.172466208,4,"16.04689,108.24197"
 Trưng Nữ Vương,Hòa Thuận Tây,hải châu,1.908723652,4.157914132,Không,Nhà mặt tiền,Giấy tờ hợp lệ,1.320456639,2.22440582,3,"16.05375,108.21903"
 Vương Thừa Vũ,An Hải Bắc,sơn trà,2.029336936,0.061022648,Không,Nhà mặt tiền,Giấy tờ hợp lệ,2.267840011,0.391503681,1,"16.08037,108.24486"
 Nguyễn Văn Linh,Vĩnh Trung,thanh khê,1.819116586,0.546310548,Không,Nhà mặt tiền,Giấy tờ hợp lệ,1.694896078,-0.808611767,5,"16.05947,108.20843"
 Hoàng Sĩ Khải,An Hải Bắc,sơn trà,-0.850000701,-0.204208624,Không,Nhà trong hẻm,Giấy tờ hợp lệ,1.002232094,-1.066322664,2,"16.07566,108.23193"
 Hà Huy Tập,Hòa Khê,thanh khê,-0.666881741,-0.397199268,Bắc,Nhà trong hẻm,Giấy tờ hợp lệ,-0.005880084,-0.736436097,3,"16.0704,108.19171"
 K23.35 Nguyễn Văn Huề,Thanh Khê Tây,thanh khê,-1.62251264,-0.440086078,Không,Nhà trong hẻm,Giấy tờ hợp lệ,1.282561304,-1.159413513,2,"16.06917,108.17588"
 Tô Hiệu,Hòa Minh,liên chiểu,-0.965669613,-0.525859697,Không,Nhà mặt tiền,Giấy tờ hợp lệ,-0.005880084,-0.877428569,3,"16.06424,108.16672"
 Phạm Như Xương,Hòa Khánh Nam,liên chiểu,-2.583564707,-0.418642673,Tây Nam,Nhà trong hẻm,Giấy tờ hợp lệ,-0.195356758,-0.621078619,1,"16.06383,108.14822"
 Hàn Thuyên,Hòa Cường Bắc,hải châu,0.554106771,0.503423738,Không,Nhà mặt tiền,Giấy tờ hợp lệ,-0.574310107,1.096466042,3,"16.03936,108.21621"
 Quốc lộ 1A,Xã Hòa Phước,hòa vang,-1.910759412,0.782188001,Không,Nhà trong hẻm,Không có,1.888886662,-0.736436097,2,"15.96907,108.20995"
 Phan Đăng Lưu,Hòa Cường Nam,hải châu,0.490697097,-0.139878409,Không,Nhà mặt tiền,Không có,1.067225181,-1.042141492,3,"16.03665,108.21825"
 Mai Đăng Chơn,Hòa Quý,ngũ hành sơn,1.318376653,4.157914132,Không,Nhà mặt tiền,Không có,5.009713034,0.424691062,3,"15.97666,108.23309"
 Nguyễn Hữu Thọ,Hòa Cường Nam,hải châu,2.125761497,4.157914132,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.299466805,1.237458514,3,"16.03954,108.21035"
 Trưng Nữ Vương,Bình Thuận,hải châu,1.833027673,0.061022648,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,0.752026615,0.814481098,1,"16.05375,108.21903"
 Dương Đức Hiền,Hòa Minh,liên chiểu,-1.335826877,-1.662360157,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,-0.574310107,-0.031473736,1,"16.08288,108.16057"
 Tế Hanh,Hòa Xuân,cẩm lệ,-0.571793983,-1.576586537,Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,-0.384833433,0.884977334,2,"15.98764,108.21322"
 Ngô Quyền,An Hải Bắc,sơn trà,0.596982112,0.010225425,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,-0.005880084,-0.257061691,3,"16.09631,108.24529"
