Street,Ward,District,Prices,Area,toFace,type,certificate,width,length,floors
 Dương Đức Hiền,Hòa Minh,liên chiểu,2.65,7.0,Đông Bắc,True,True,4.5,16.0,1
 Tế Hanh,Hòa Xuân,cẩm lệ,3.95,11.0,Bắc,True,True,5.0,22.5,2
 Ngô Quyền,An Hải Bắc,sơn trà,8.2,85.0,Tây Bắc,True,True,6.0,14.4,3
 Đào Sư Tích,Hòa Minh,liên chiểu,3.85,60.0,Nam,True,True,3.99,16.74,3
 Nguyễn Đỗ Cung,Hòa Minh,liên chiểu,5.0,110.0,Đông,True,True,5.0,22.0,2
 Hà Huy Tập,Xuân Hà,thanh khê,11.5,98.0,Tây,True,True,5.0,20.0,5
 Dương Vân Nga,Nại Hiên Đông,sơn trà,6.8,100.0,Đông Nam,True,True,5.0,20.0,4
 Phạm Văn Bạch,Hòa Cường Nam,hải châu,4.5,76.0,Bắc,True,True,4.0,19.0,1
 Bùi Vịnh,Hòa Phát,cẩm lệ,4.2,120.0,Nam,True,True,5.0,24.0,2
 Nguyễn Thanh Năm,An Khê,thanh khê,3.2,75.0,Đông,True,True,5.0,15.0,1
 Đoàn Phú Tứ,Hòa Khánh Bắc,liên chiểu,4.1,147.0,Tây Nam,True,True,5.0,30.0,1
 Nguyễn Trác,Hòa Thuận Tây,hải châu,9.0,134.0,Đông Bắc,True,True,5.0,27.0,2
 Trần Can,Hòa Khê,thanh khê,5.8,85.0,Tây Nam,True,True,5.0,17.0,3
 An Mỹ,An Hải Tây,sơn trà,4.8,56.0,Tây Bắc,True,True,4.0,14.0,1
 Ngô Trí Hòa,Nại Hiên Đông,sơn trà,3.2,7.0,Đông Bắc,True,True,4.0,18.0,1
 Man Thiện,Hòa Thuận Tây,hải châu,8.9,96.0,Đông,True,True,5.0,19.2,3
 Hoàng Đức Lương,An Hải Bắc,sơn trà,9.0,100.0,Tây Bắc,True,True,5.0,20.0,3
 Võ Duy Ninh,Thọ Quang,sơn trà,5.3,130.0,Đông Nam,True,True,5.0,25.7,2
 Lý Tự Trọng,Thạch Thang,hải châu,10.8,80.0,Nam,True,True,4.0,20.0,2
 Ngô Chi Lan,Thuận Phước,hải châu,6.8,95.0,Tây,True,True,6.0,21.0,1
 Vũ Quỳnh,Thanh Khê Tây,thanh khê,3.9,75.0,Đông Bắc,True,True,5.0,15.0,1
 Trần Văn Đang,Khuê Trung,cẩm lệ,4.2,75.0,Đông Bắc,True,True,5.0,15.0,2
 Man Thiện,Hòa Thuận Tây,hải châu,8.9,96.0,Đông,True,True,5.0,19.2,3
 Hồ Huân Nghiệp,Mỹ An,ngũ hành sơn,5.1,90.0,Đông,True,True,5.0,18.0,1
 Bùi Dương Lịch,Nại Hiên Đông,sơn trà,5.2,100.0,Tây Bắc,True,True,5.0,20.0,3
 Lưu Nhân Chú,Khuê Trung,cẩm lệ,3.4,70.0,Đông Nam,True,True,5.0,14.0,2
 An Mỹ 3,An Hải Tây,sơn trà,4.2,57.0,Đông Nam,True,True,4.4,13.0,1
 Lưu Nhân Chú,Khuê Trung,cẩm lệ,3.4,70.0,Đông Nam,True,True,5.0,14.0,2
 Nguyễn Thuật,Hòa An,cẩm lệ,3.15,90.0,Đông,True,True,5.0,18.0,1
 Lê Chân,Nại Hiên Đông,sơn trà,5.1,80.0,Đông Nam,True,True,5.0,16.0,2
 Trần Phú,Phước Ninh,hải châu,41.0,158.0,Không,True,True,7.0,21.0,3
 An Nhơn 1,An Hải Bắc,sơn trà,6.45,73.0,Tây Bắc,True,True,4.7,15.4,3
 Đoàn Trần Nghiệp,Hòa Khánh Bắc,liên chiểu,6.0,98.0,Đông Nam,True,True,5.0,20.0,3
 Nguyễn Xuân Khoát,An Hải Bắc,sơn trà,9.5,110.0,Đông Bắc,True,True,5.0,22.0,3
 Nguyễn Đỗ Cung,Hòa Minh,liên chiểu,3.85,83.0,Bắc,True,True,5.0,17.0,3
 Núi Thành,Hòa Thuận Đông,hải châu,24.0,123.0,Đông,True,True,7.1,17.8,3
 An Mỹ,An Hải Tây,sơn trà,4.2,56.0,Tây Bắc,True,True,4.0,14.0,1
 An Nhơn 3,An Hải Bắc,sơn trà,8.5,117.0,Tây Bắc,True,True,5.3,22.0,2
 Nguyễn Lương Bằng,Hòa Hiệp Nam,liên chiểu,5.3,14.0,Tây Nam,True,True,5.9,36.0,1
 Hàn Thuyên,Hòa Cường Bắc,hải châu,7.8,11.0,Nam,True,True,4.5,25.0,1
 Nước Mặn 2,Khuê Mỹ,ngũ hành sơn,5.1,95.0,Tây Nam,True,True,5.0,19.0,2
 An Trung 8,An Hải Tây,sơn trà,3.9,58.0,Không,True,True,5.5,11.0,2
 Xuân Thiều 11,Hòa Hiệp Nam,liên chiểu,3.6,100.0,Đông Nam,True,True,5.0,20.0,1
 Ngô Quyền,An Hải Tây,sơn trà,12.5,87.0,Đông Bắc,True,True,5.0,17.42,2
 Thái Thị Bôi,Chính Gián,thanh khê,2.95,45.0,Bắc,False,True,4.0,11.5,3
 Nại Nghĩa 4,Nại Hiên Đông,sơn trà,3.6,50.0,Nam,False,True,4.0,12.5,3
 Nguyễn Thanh Năm,An Khê,thanh khê,3.0,78.0,Tây Nam,True,True,5.0,15.6,1
