Street,Ward,District,Prices,Area,toFace,type,certificate,width,length,floors,Location
 Tôn Đức Thắng,Hòa Minh,liên chiểu,3.69,60,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4,15,3,"16.07067,108.15084"
 Đoàn Phú Tứ,Hòa Khánh Bắc,liên chiểu,1.75,58,Không,Nhà trong hẻm,Giấy tờ hợp lệ,,,1,"16.06926,108.14463"
 Nại Hiên Đông 8,Nại Hiên Đông,sơn trà,3.18,7,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,4,18,2,"16.09258,108.23111"
 mt kỳ đồng Kỳ Đồng,Thạc Gián,thanh khê,8,85,Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5,17,3,"16.07002,108.18854"
 kiệt 70 Nguyễn Du,Thạch Thang,hải châu,3.5,63,Đông Nam,Nhà trong hẻm,Giấy tờ hợp lệ,4.3,14,2,"16.07874,108.21804"
 Bạch Thái Bưởi,Hòa Khánh Bắc,liên chiểu,5.5,97,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5,19,3,"16.06913,108.14717"
 Trần Thủ Độ,Khuê Trung,cẩm lệ,9.7,103,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5,20.3,4,"16.02417,108.21349"
 An Mỹ,An Hải Tây,sơn trà,4.5,60,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4,15,1,"16.06265,108.23121"
 Hà Huy Tập,Hòa Khê,thanh khê,5.3,85,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7,12,2,"16.0704,108.19171"
 An Thượng 38,Khuê Mỹ,ngũ hành sơn,8.699,60,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,15,4,"16.04689,108.24197"
 Trưng Nữ Vương,Hòa Thuận Tây,hải châu,30,336,Không,Nhà mặt tiền,Giấy tờ hợp lệ,9.5,32,3,"16.05375,108.21903"
 Vương Thừa Vũ,An Hải Bắc,sơn trà,36,,Không,Nhà mặt tiền,Giấy tờ hợp lệ,12,19,1,"16.08037,108.24486"
 Nguyễn Văn Linh,Vĩnh Trung,thanh khê,26.5,110,Không,Nhà mặt tiền,Giấy tờ hợp lệ,,,5,"16.05947,108.20843"
 Hoàng Sĩ Khải,An Hải Bắc,sơn trà,3.4,75,Không,Nhà trong hẻm,Giấy tờ hợp lệ,,,2,"16.07566,108.23193"
 Hà Huy Tập,Hòa Khê,thanh khê,3.75,66,Bắc,Nhà trong hẻm,Giấy tờ hợp lệ,6,11,3,"16.0704,108.19171"
 K23.35 Nguyễn Văn Huề,Thanh Khê Tây,thanh khê,2.3,64,Không,Nhà trong hẻm,Giấy tờ hợp lệ,9.4,8,2,"16.06917,108.17588"
 Tô Hiệu,Hòa Minh,liên chiểu,3.2,60,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6,,3,"16.06424,108.16672"
 Phạm Như Xương,Hòa Khánh Nam,liên chiểu,1.45,65,Tây Nam,Nhà trong hẻm,Giấy tờ hợp lệ,5.5,,1,"16.06383,108.14822"
 Hàn Thuyên,Hòa Cường Bắc,hải châu,7.95,108,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,24,3,"16.03936,108.21621"
 Quốc lộ 1A,Xã Hòa Phước,hòa vang,2,121,Không,Nhà trong hẻm,Không có,,,2,"15.96907,108.20995"
