 Street,Ward,District,Prices,Area,toFace,type,certificate,width,length,floors,Location
 Ông Ích Đường,Khuê Trung,cẩm lệ,5.3,125,Không,Nhà trong hẻm,Không có,7.8,16,1,"16.01707,108.20465"
 Thái Phiên,Phước Ninh,hải châu,8.3,8,Không,Nhà trong hẻm,Không có,4.5,18.4,3,"16.06509,108.22165"
 An Thượng 24,Mỹ An,ngũ hành sơn,6.5,106,Không,Nhà trong hẻm,Không có,7,15,1,"16.05263,108.24152"
 Ông Ích Khiêm,Thanh Bình,hải châu,7.1,143,Không,Nhà trong hẻm,Không có,8,18,2,"16.07838,108.21186"
 Lý Tự Trọng,Thanh Bình,hải châu,7.2,68,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,15.3,4,"16.07853,108.21389"
 Ỷ Lan Nguyên Phi,Hòa Cường Bắc,hải châu,16,170,Không,Nhà mặt tiền,Không có,6,20,2,"16.04088,108.21625"
 Núi Thành,Hòa Thuận Đông,hải châu,24.45,123,Không,Nhà mặt tiền,Không có,7.1,18,2,"16.03194,108.22279"
 Hóa Sơn 2,Hòa Cường Nam,hải châu,3.45,56,Không,Nhà mặt tiền,Không có,4,14,2,"16.03189,108.22724"
 Cô Giang,Phước Ninh,hải châu,23.5,155,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6,24,1,"16.062,108.2217"
 An Thượng 1,Mỹ An,ngũ hành sơn,15.7,80,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,16,3,"16.0499,108.2482"
 Đặng Tử Kính,Thạch Thang,hải châu,14.7,95,Không,Nhà mặt tiền,Không có,7.5,12.7,4,"16.07979,108.2222"
 Hồ Nghinh,Phước Mỹ,sơn trà,17,121,Không,Nhà mặt tiền,Không có,5,24.2,3,"16.07304,108.24303"
 Bình Thái 1,Hòa Thọ Đông,cẩm lệ,6.1,34,Không,Nhà mặt tiền,Không có,9,286,2,"16.01414,108.20538"
